respondent,trial_nr,salience,position,responseTime
21,14,high,peripheral,1035.2241126820445
21,15,high,peripheral,718.3568270120304
21,16,low,peripheral,984.2998456733767
21,17,low,central,1669.2075730243232
21,18,low,central,869.9333807162475
21,19,high,peripheral,601.3406820129603
21,20,low,peripheral,1285.7490511669312
21,21,low,central,951.8731661664788
21,22,low,peripheral,885.0808434654027
21,23,high,central,634.5341766136698
21,24,high,peripheral,684.5023938803934
21,25,high,central,549.921007361263
21,26,high,peripheral,601.3071017514449
21,27,low,peripheral,851.5183610725217
21,28,high,peripheral,1001.8777291406877
21,29,low,peripheral,3036.775125627173
21,30,low,peripheral,851.8257192336023
21,31,low,peripheral,785.837742529111
21,32,low,central,1352.1569786244072
22,1,high,peripheral,850.1766317058355
22,2,high,central,685.1781764999032
22,3,low,peripheral,1703.1795307993889
22,4,high,peripheral,500.83041843026876
22,5,high,central,585.1510753855109
22,6,low,central,1218.4134819544852
22,7,low,peripheral,1151.83343924582
22,8,high,central,751.4619235880673
22,9,high,central,518.0120207369328
22,10,high,peripheral,617.5500364042819
22,11,low,peripheral,1535.6471536215395
22,12,high,peripheral,868.0879122111946
22,13,low,peripheral,1119.6628231555223
22,14,low,central,768.0683170910925
22,15,low,central,1051.662930753082
22,16,low,central,1885.7882297597826
22,17,high,central,584.2851013876498
22,18,low,peripheral,1385.7021066360176
22,19,high,peripheral,634.8256634082645
22,20,low,central,1402.4898330681026
22,21,high,central,601.5903579536825
22,22,low,peripheral,1051.666091196239
22,23,low,central,1168.626696569845
22,24,low,central,901.3192669954151
22,25,high,peripheral,817.9499171674252
22,26,high,peripheral,751.4951087068766
22,27,high,peripheral,533.2961450330913
22,28,low,peripheral,1785.1902653928846
22,29,high,central,701.7592862248421
22,30,high,central,584.6201132517308
22,31,low,central,934.9808434490114
22,32,low,peripheral,1652.8463757131249
23,1,high,central,601.1448111385107
23,2,high,peripheral,801.6282091848552
23,3,low,peripheral,1469.4784821476787
23,4,low,peripheral,1435.4253062047064
23,5,high,central,601.3253547716886
23,6,high,central,518.6072320211679
23,7,low,central,951.7083871178329
23,8,low,central,1017.9480705410242
23,9,high,peripheral,700.9813741315156
23,10,low,peripheral,1202.9604380950332
23,11,low,central,1185.370688792318
23,12,low,central,968.1769500020891
23,13,high,peripheral,751.7587181646377
23,14,low,peripheral,1334.453729679808
23,15,low,peripheral,1735.8622052706778
23,16,high,central,701.7944119870663
23,17,high,peripheral,718.6552716884762
23,18,low,peripheral,1619.7787097189575
23,19,high,central,918.2719031814486
23,20,high,peripheral,684.7391817718744
23,21,low,central,1118.9149064011872
23,22,high,peripheral,601.0373544413596
23,23,low,central,1168.6394095886499
23,24,high,peripheral,718.228999292478
23,25,low,peripheral,1568.902995204553
23,26,high,peripheral,667.5306677352637
23,27,low,central,799.6228735428303
23,28,low,central,818.0438338313252
23,29,low,peripheral,818.490648875013
23,30,high,central,550.7581834681332
23,31,high,central,717.4898381344974
23,32,high,central,585.1329404395074
23,3,low,peripheral,2003.3694815356284
23,4,low,peripheral,2119.3469630088657
23,5,high,peripheral,1250.8246912620962
23,6,low,peripheral,2319.1075555514544
23,7,high,central,1752.5775802787393
23,8,low,peripheral,1368.8746667467058
23,9,low,central,1819.4477036595345
23,10,high,peripheral,1102.091456996277
23,11,low,central,1368.8821729738265
23,12,low,peripheral,1018.5702715534717
23,13,high,central,1135.1265185512602
23,14,high,peripheral,885.3463705163449
23,15,high,central,1234.2601481359452
23,16,high,central,1134.0476048644632
23,17,low,peripheral,1719.9178272858262
23,18,low,central,1267.9280987940729
23,19,high,central,801.89155554398894
23,20,low,central,2169.3522962741554
23,21,high,peripheral,967.1186173800379
23,22,low,central,1718.990222318098
23,23,high,central,1068.504098802805
23,24,high,central,702.5576296728104
23,25,high,peripheral,835.1853827480227
23,26,high,central,735.1304690819234
23,27,low,peripheral,1819.348543183878
23,28,low,central,1217.3088393174112
23,29,high,peripheral,851.9589134957641
23,30,high,peripheral,1252.0082963164896
23,31,low,peripheral,1285.2653828449547
23,32,high,peripheral,868.3144690003246
24,1,high,central,634.1451177140698
24,2,high,peripheral,734.9362273234874
24,3,high,central,701.4054292812943
24,4,high,peripheral,834.7787954844534
24,5,low,central,1451.790514984168
24,6,high,central,601.7690828884952
24,7,low,peripheral,1868.8575429841876
24,8,high,peripheral,700.9001463884488
