respondent;block;trial_nr;sound;salience;arousal;responseTime
7;VO;32;visual only;high;visual only;718.619320774451
8;VA;1;S4;high;S4;2295.20624
8;VA;2;S2;low;S2;2495.036047
8;VA;3;S4;low;S4;2019.044353
8;VA;4;S3;high;S3;1293.528215
8;VA;5;S2;high;S2;1243.5335285
8;VA;6;S1;low;S1;1652.565591
8;VA;7;S4;low;S4;1410.2668285
8;VA;8;S1;high;S1;893.461489
8;VA;9;S4;high;S4;1518.823909
8;VA;10;S2;high;S2;1710.814701
8;VA;11;S3;high;S3;1393.5365505
8;VA;12;S4;high;S4;1701.884327
8;VA;13;S3;low;S3;1869.082022
8;VA;14;S2;low;S2;1377.0346185
8;VA;15;S1;low;S1;1251.889877
8;VA;16;S2;low;S2;1985.815303
8;VA;17;S4;high;S4;1351.9983615
8;VA;18;S2;high;S2;1084.9228975
8;VA;19;S1;low;S1;2394.6873655
8;VA;20;S2;low;S2;1752.2156055
8;VA;21;S1;high;S1;1292.983227
8;VA;22;S3;high;S3;1818.6960275
8;VA;23;S4;low;S4;826.5168695
8;VA;24;S1;high;S1;959.7076385
8;VA;25;S4;low;S4;1393.5979825
8;VA;26;S3;high;S3;1260.1085475
8;VA;27;S1;low;S1;2161.3507795
8;VA;28;S3;low;S3;1960.681071
8;VA;29;S2;high;S2;1409.990878
8;VA;30;S3;low;S3;1577.0062525
8;VA;31;S1;high;S1;1352.06967
8;VA;32;S3;low;S3;2453.066648
8;VO;1;visual only;high;visual only;884.889634
8;VO;2;visual only;low;visual only;1119.293677
8;VO;3;visual only;high;visual only;985.037821
8;VO;4;visual only;low;visual only;1552.345897
8;VO;5;visual only;high;visual only;2286.304903
8;VO;6;visual only;low;visual only;2035.49315
8;VO;7;visual only;low;visual only;2086.361318
8;VO;8;visual only;low;visual only;1385.295955
8;VO;9;visual only;low;visual only;3070.404769
8;VO;10;visual only;high;visual only;1368.614467
8;VO;12;visual only;high;visual only;1451.801067
8;VO;13;visual only;high;visual only;884.815362
8;VO;14;visual only;low;visual only;1585.11154
8;VO;15;visual only;high;visual only;1201.597709
8;VO;16;visual only;high;visual only;1385.423559
8;VO;17;visual only;high;visual only;851.541275
8;VO;18;visual only;low;visual only;1485.594266
8;VO;19;visual only;high;visual only;934.91869
8;VO;20;visual only;high;visual only;1435.384666
8;VO;21;visual only;high;visual only;967.859345
8;VO;22;visual only;low;visual only;1569.477756
8;VO;23;visual only;low;visual only;2486.19555
8;VO;24;visual only;low;visual only;1385.99956
8;VO;25;visual only;low;visual only;2436.410642
8;VO;26;visual only;high;visual only;3119.175948
8;VO;27;visual only;high;visual only;834.987787
8;VO;28;visual only;low;visual only;818.111928
8;VO;29;visual only;high;visual only;934.737752
8;VO;30;visual only;low;visual only;1301.934737
8;VO;31;visual only;high;visual only;919.097647
8;VO;32;visual only;low;visual only;1819.003583
9;VA;1;S1;high;S1;634.657511778641
9;VA;2;S4;high;S4;884.81998059433
9;VA;3;S1;high;S1;1101.1486396892
9;VA;4;S4;high;S4;1010.0951899658
9;VA;5;S2;high;S2;750.873381010024
9;VA;6;S1;high;S1;675.617035798496
9;VA;7;S3;high;S3;709.961461805506
9;VA;8;S1;high;S1;868.407766130986
9;VA;9;S3;high;S3;633.392329094931
9;VA;10;S4;high;S4;701.060936175054
9;VA;11;S1;low;S1;1585.75686765835
9;VA;12;S2;high;S2;768.376556283329
9;VA;13;S1;low;S1;1234.82640035218
9;VA;14;S3;high;S3;951.287799922284
9;VA;15;S1;low;S1;1593.60119784833
9;VA;16;S2;high;S2;625.579011219088
9;VA;17;S3;high;S3;767.04381822492
9;VA;18;S2;high;S2;751.163553242804
9;VA;19;S4;high;S4;658.973315585172
9;VA;20;S3;low;S3;2294.74094868056
9;VA;21;S4;low;S4;1034.59825261962
9;VA;22;S2;low;S2;701.604935107753
9;VA;23;S4;low;S4;976.354614598677
9;VA;24;S3;low;S3;1001.87989752158
9;VA;25;S1;low;S1;1819.75857826183
9;VA;26;S3;low;S3;2278.09584574425
9;VA;27;S2;low;S2;1034.45010480937
9;VA;28;S3;low;S3;1626.45723170135
9;VA;29;S4;low;S4;2877.83253760426
9;VA;30;S2;low;S2;1160.10575782275
9;VA;31;S4;low;S4;1827.30246454594
9;VA;32;S2;low;S2;1160.6785961776
9;VO;1;visual only;low;visual only;1468.68332108716
9;VO;2;visual only;high;visual only;901.049479376525
9;VO;3;visual only;low;visual only;1034.34264817042
9;VO;4;visual only;low;visual only;1018.02505081287
9;VO;5;visual only;low;visual only;1019.22208548058
9;VO;6;visual only;low;visual only;851.889280194882
9;VO;7;visual only;low;visual only;1234.24941382837
9;VO;8;visual only;high;visual only;1002.32453859644
9;VO;9;visual only;low;visual only;1401.89194690902
9;VO;10;visual only;high;visual only;668.439963541459
9;VO;11;visual only;high;visual only;583.82422948489
9;VO;12;visual only;high;visual only;600.461431196891
9;VO;13;visual only;high;visual only;834.258105198387
9;VO;14;visual only;high;visual only;550.549826060887
9;VO;15;visual only;high;visual only;717.197595629841
9;VO;16;visual only;high;visual only;768.254877533764
9;VO;17;visual only;high;visual only;684.834202751517
9;VO;18;visual only;high;visual only;651.737576816231
9;VO;19;visual only;high;visual only;834.378203726374
9;VO;20;visual only;high;visual only;634.633808163926
9;VO;21;visual only;low;visual only;901.331552886404
9;VO;22;visual only;low;visual only;1151.57303388696
9;VO;23;visual only;high;visual only;584.470549190883
9;VO;24;visual only;low;visual only;1035.09839979233
9;VO;25;visual only;low;visual only;902.230316598434
9;VO;26;visual only;high;visual only;601.331355341244
9;VO;27;visual only;low;visual only;1935.45257195365
9;VO;28;visual only;low;visual only;784.259981708601
9;VO;29;visual only;low;visual only;952.063699660357
9;VO;30;visual only;low;visual only;1852.66478487756
9;VO;31;visual only;high;visual only;701.804440876003
9;VO;32;visual only;low;visual only;1034.99805432511
10;VA;1;S4;high;S4;1368.77926904708
10;VA;2;S3;high;S3;884.912181762047
10;VA;3;S4;high;S4;1001.67031842284
10;VA;4;S2;high;S2;918.055240530521
10;VA;5;S4;high;S4;741.374828503467
10;VA;6;S3;high;S3;726.819987292401
10;VA;7;S1;high;S1;634.499935549684
10;VA;8;S3;high;S3;659.743747557513
10;VA;9;S1;high;S1;693.027447909117
10;VA;10;S2;high;S2;734.643777366728
10;VA;11;S3;high;S3;951.299434993416
10;VA;12;S1;high;S1;726.288037491031
10;VA;13;S2;high;S2;651.929438929074
10;VA;14;S1;high;S1;1018.30160070676
10;VA;15;S4;high;S4;901.378526235931
10;VA;16;S3;low;S3;1701.88689092174
10;VA;17;S4;low;S4;1318.56384221464
10;VA;18;S1;low;S1;1193.2597438572
10;VA;19;S2;high;S2;701.275731320493
10;VA;20;S3;low;S3;1418.90995530412
10;VA;21;S2;low;S2;1160.03332729451
10;VA;22;S4;low;S4;1284.53683434054
10;VA;23;S2;low;S2;826.38842263259
10;VA;24;S1;low;S1;1227.08843124565
10;VA;25;S3;low;S3;1360.21177633666
10;VA;26;S4;low;S4;1061.00079242606
10;VA;27;S3;low;S3;1101.81692556944
10;VA;28;S4;low;S4;1043.31528954208
10;VA;29;S1;low;S1;1478.11381227802
10;VA;30;S2;low;S2;1268.19078600965
10;VA;31;S1;low;S1;2970.42967635207
10;VA;32;S2;low;S2;1268.93211831339
10;VO;1;visual only;high;visual only;617.66065354459
10;VO;2;visual only;high;visual only;601.385716348886
10;VO;3;visual only;low;visual only;1836.02554304525
10;VO;4;visual only;high;visual only;717.187607428059
10;VO;5;visual only;high;visual only;867.466876283288
10;VO;6;visual only;low;visual only;1768.92006886192
10;VO;7;visual only;high;visual only;634.48433065787
10;VO;8;visual only;low;visual only;1035.02848767675
10;VO;9;visual only;high;visual only;618.444849969819
10;VO;10;visual only;high;visual only;636.463586939499
10;VO;11;visual only;low;visual only;2019.77320341393
10;VO;12;visual only;low;visual only;834.862483199686
10;VO;13;visual only;low;visual only;985.004665562883
10;VO;14;visual only;low;visual only;3404.86454544589
10;VO;15;visual only;high;visual only;665.817021857947
10;VO;16;visual only;high;visual only;583.946929080412
10;VO;17;visual only;low;visual only;1519.14584613405
10;VO;18;visual only;low;visual only;984.957653330639
10;VO;19;visual only;low;visual only;869.010774884373
10;VO;20;visual only;low;visual only;1068.38270672597
10;VO;21;visual only;high;visual only;500.912591116503
10;VO;22;visual only;high;visual only;668.21148712188
10;VO;23;visual only;low;visual only;1285.49209213816
10;VO;24;visual only;high;visual only;501.237331423908
10;VO;25;visual only;low;visual only;1151.94010548294
10;VO;26;visual only;high;visual only;634.692922933027
10;VO;27;visual only;low;visual only;2270.09577071294
10;VO;28;visual only;high;visual only;534.822660963982
10;VO;29;visual only;low;visual only;1068.42181785032
10;VO;30;visual only;low;visual only;901.618723291904
10;VO;31;visual only;high;visual only;767.904366832227
10;VO;32;visual only;high;visual only;567.849374376237
11;VA;1;S2;high;S2;1018.61531598843
11;VA;2;S1;high;S1;875.941086793318
11;VA;3;S4;low;S4;1852.48567011149
11;VA;4;S2;low;S2;1310.71992522629
11;VA;5;S4;high;S4;1010.24099170172
11;VA;6;S2;low;S2;2036.01680434076
11;VA;7;S4;low;S4;1453.40798159305
11;VA;8;S1;high;S1;784.849890304031
11;VA;9;S4;high;S4;741.72809549782
11;VA;10;S3;low;S3;1810.81770302262
11;VA;11;S1;low;S1;1067.92101448809
11;VA;12;S3;high;S3;934.789110047859
11;VA;13;S4;high;S4;885.0725471857
11;VA;14;S3;low;S3;959.525317346561
11;VA;15;S4;low;S4;1151.76657847769
11;VA;16;S2;low;S2;1702.38546267501
11;VA;17;S1;high;S1;842.653369938489
11;VA;18;S4;high;S4;709.775687821093
11;VA;19;S2;high;S2;918.304955383064
11;VA;20;S4;low;S4;1126.33466720581
11;VA;21;S2;low;S2;985.265179362614
11;VA;22;S3;high;S3;751.470716641052
11;VA;23;S2;high;S2;842.941567578237
11;VA;24;S1;high;S1;910.011026178836
11;VA;25;S2;high;S2;701.31188200321
11;VA;26;S3;low;S3;1886.08035005745
11;VA;27;S1;low;S1;1635.74346102541
11;VA;28;S3;low;S3;1635.79086847312
11;VA;29;S1;low;S1;1435.72224621312
11;VA;30;S3;high;S3;1535.70391534595
11;VA;31;S1;low;S1;1443.86743461655
11;VA;32;S3;high;S3;826.384128944483
11;VO;1;visual only;low;visual only;1719.03672852204
11;VO;2;visual only;high;visual only;717.970061406959
11;VO;3;visual only;low;visual only;1018.69906912907
11;VO;4;visual only;high;visual only;734.870808839332
11;VO;5;visual only;low;visual only;1000.19713587244
11;VO;6;visual only;high;visual only;734.875549591379
11;VO;7;visual only;low;visual only;1318.59094067477
11;VO;8;visual only;high;visual only;568.463236937532
11;VO;9;visual only;low;visual only;967.842752754223
11;VO;10;visual only;high;visual only;567.984816996614
11;VO;11;visual only;high;visual only;584.624428505776
11;VO;12;visual only;low;visual only;902.707319590263
11;VO;13;visual only;high;visual only;734.584784047911
11;VO;14;visual only;low;visual only;801.210390607594
11;VO;15;visual only;low;visual only;1919.45833855425
11;VO;16;visual only;low;visual only;934.627529728459
11;VO;17;visual only;high;visual only;735.004734800896
11;VO;18;visual only;low;visual only;851.252484455472
11;VO;19;visual only;high;visual only;550.943427544553
11;VO;20;visual only;low;visual only;619.247256981907
11;VO;21;visual only;low;visual only;1368.72626910917
11;VO;22;visual only;high;visual only;634.484793845331
11;VO;23;visual only;low;visual only;668.254288670141
11;VO;24;visual only;high;visual only;534.683075413341
11;VO;25;visual only;low;visual only;1219.4509509136
11;VO;26;visual only;high;visual only;751.513975905254
11;VO;27;visual only;low;visual only;901.422183262184
11;VO;28;visual only;high;visual only;601.215842441889
11;VO;29;visual only;low;visual only;985.167006467236
11;VO;30;visual only;high;visual only;734.019055438694
11;VO;31;visual only;high;visual only;617.832145304419
11;VO;32;visual only;high;visual only;668.00777008757
12;VA;1;S2;high;S2;1327.65984511934
12;VA;2;S1;high;S1;809.758786926977
12;VA;3;S2;high;S2;1510.69255592301
12;VA;4;S3;high;S3;676.303616492078
12;VA;5;S4;high;S4;1101.75241692923
12;VA;6;S3;high;S3;901.30674734246
12;VA;7;S2;low;S2;1451.48695493117
12;VA;8;S1;low;S1;3053.78060694784
12;VA;9;S3;low;S3;1744.09589415882
12;VA;10;S1;high;S1;1001.71733542811
12;VA;11;S4;high;S4;1201.95421471726
12;VA;12;S1;high;S1;1101.81345406454
12;VA;13;S4;high;S4;868.682115920819
12;VA;14;S3;low;S3;1918.89669408556
12;VA;15;S2;low;S2;1060.21083681844
12;VA;16;S3;high;S3;851.665799506009
12;VA;17;S2;high;S2;676.235073129646
12;VA;18;S3;low;S3;2228.38288790081
12;VA;19;S1;low;S1;1393.74091115315
12;VA;20;S4;low;S4;1569.10882261582
12;VA;21;S3;low;S3;1435.48654089682
12;VA;22;S1;low;S1;1218.25961675495
12;VA;23;S3;high;S3;877.730027888902
12;VA;24;S1;high;S1;876.483804197051
12;VA;25;S4;low;S4;1635.69458061829
12;VA;26;S2;high;S2;809.378341888078
12;VA;27;S4;low;S4;1618.84043714963
12;VA;28;S2;low;S2;1068.51741450373
12;VA;29;S1;low;S1;1293.99580520112
12;VA;30;S4;high;S4;668.022520141676
12;VA;31;S2;low;S2;1260.29107393697
12;VA;32;S4;low;S4;2311.58259150106
12;VO;1;visual only;low;visual only;2152.84482319839
12;VO;2;visual only;high;visual only;1385.3649997618
12;VO;3;visual only;low;visual only;1085.17975523137
12;VO;4;visual only;high;visual only;768.233996815979
12;VO;5;visual only;high;visual only;868.435202166438
12;VO;6;visual only;high;visual only;551.325097912923
12;VO;7;visual only;high;visual only;567.931142169982
12;VO;8;visual only;low;visual only;818.476031767204
